id	name	followers
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2456028
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	1776088
2QcZxAgcs2I1q7CtCkl6MI	Eason Chan	1350569
7aRC4L63dBn3CiLDuWaLSI	G.E.M.	1574638
5fEQLwq1BWWQNR8GzhOIvi	Eric Chou	805933
1Hu58yHg2CXNfDhlPd7Tdd	Jacky Cheung	913806
1r9DuPTHiQ7hnRRZ99B8nL	Jolin Tsai	514252
3df3XLKuqTQ6iOSmi0K3Wp	Faye Wong	337121
16s0YTFcyjP4kgFwt7ktrY	Mayday	1018927
0SIXZXJCAhNU8sxK0qm7hn	Stefanie Sun	404017
6f4srX54JFrLNK4aTJe2Sc	Ren Ran	142620
1cg0bYpP5e2DNG0RgK2CMN	Joker Xue	349347
3aIDSTKS9yH745GUQBxDcS	Fish Leong	440851
14bJhryXGk6H6qlGzwj3W5	Hebe Tien	552828
6jlz5QSUqbKE4vnzo2qfP1	Karen Mok	329662
2F5W6Rsxwzg0plQ0w8dSyt	Leehom Wang	470385
6noxsCszBEEK04kCehugOp	A-Mei Chang	492966
3ienC90A5I1X3irDyQoqWZ	Teresa Teng	355700
6gvSKE72vF6N20LfBqrDmm	Mao Buyi	156615
376pcuw4IgWBMOUwCr8kIm	Tanya Chua	257646
0rTP0x4vRFSDbhtqcCqc8K	Ronghao Li	375982
2n3uDrupL8UtFSeZhY38MS	Andy Lau	301586
2lWShxOL8iTlI0pmtVKvEh	S.H.E	380818
3K2hOAx9MPhduvDf2qguro	Sandy Lam	198246
28gf2piFx6cAKOMIwcky5a	A-Lin	613393
3AroL2oDPiAnMpTmIQv3KP	Cyndi Wang	157230
3dI4Io8XE33J2o04ZwjR0Y	LaLa Hsu	332723
1GPoTgvXd5OqZMF1akOsV2	Yoga Lin	372165
0MEchSWR9pJvw1S5CV3Kuk	Rainie Yang	409422
3WYT2b8pOLsLsqSaoWYr7U	Sodagreen	305726
0PdNEiQ3MsJGCEgE13Tz60	Silence Wang	108466
3jPL2UtbCi2DuvuK2dolR6	Jody Chiang	91289
40tNK2YedBV2jRFAHxpifB	David Tao	200666
6xErgeZYatiaQ36SB5bvi8	告五人	152513
2dw80Uni5l7wd9zZFn7Ltu	Jeff Chang	106624
6wcIBaOvA9XNGgPujYZZ7L	Wakin Chau	87759
1YrtUPrWcPfgdl9BaD9nhd	Khalil Fong	179792
5H8TJITZE1sPjVR2ACzXNS	Wu Bai	200440
4TcOznbEZBqev21LzAH4KE	高爾宣 OSN	202933
2JBUyLiFvpFPWdZGqIGYLD	Crowd Lu	242454
4txug0T3vYc9p20tuhfCUa	Angela Chang	241022
70paW48PtCtUjtndElrjrL	Tia Ray	41572
3fS78kAWd9dVFyaPQ363YO	Lu Han	721471
3iRqbMhzyOyoCkmmMRxLWR	Hu Xia	86350
2TXF68WgfTZlipUvLBsQre	Jonathan Lee	140512
4AJcTAMOLkRl3vf4syay8Q	Jam Hsiao	396813
75CM5fojYdKYD0xYSFh22Z	Yisa Yu	140580
3DOs7Bsr9x4eJHqv6ViPvR	By2	95002
7Icsejk4pdIhkq2KO5A0jD	ØZI	103342
5PNcqs6EtD6gSXgUiiJIUU	颜人中	25693
24jrxG0tKcwgAzsLuPzyMi	Namewee	207913
5XMnJOQbE6OuOvcV8fn3Wg	Dave Wong	81570
6aSJ9LaNaHOKiPchLDYGYl	Fei Yu-ching	88693
5oqLnVZzJJXE3YnzzZfRKu	F.I.R.	69670
7KyaSSJ8uTv7Unev4z2Qc7	Kelly Chen	88173
1km0aro5NJuoX5dE0Mub5C	Joanna Wang	110371
6g641431O1Xkl7HAs2yFEg	EggPlantEgg	206057
26SQFo2qNNGOxh2PUAsTeO	Michael Wong	111271
5a5vu4RzsAHdKN0aYyblZ8	吳青峰	134427
