id	name	followers	at_popularity
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2463490	74
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	1780152	70
2QcZxAgcs2I1q7CtCkl6MI	Eason Chan	1353892	67
7aRC4L63dBn3CiLDuWaLSI	G.E.M.	1578877	67
5fEQLwq1BWWQNR8GzhOIvi	Eric Chou	807542	69
1Hu58yHg2CXNfDhlPd7Tdd	Jacky Cheung	916364	64
3df3XLKuqTQ6iOSmi0K3Wp	Faye Wong	338395	60
1r9DuPTHiQ7hnRRZ99B8nL	Jolin Tsai	515715	64
16s0YTFcyjP4kgFwt7ktrY	Mayday	1021481	65
0SIXZXJCAhNU8sxK0qm7hn	Stefanie Sun	405002	61
6f4srX54JFrLNK4aTJe2Sc	Ren Ran	143822	64
1cg0bYpP5e2DNG0RgK2CMN	Joker Xue	350318	61
3aIDSTKS9yH745GUQBxDcS	Fish Leong	442155	62
14bJhryXGk6H6qlGzwj3W5	Hebe Tien	554273	61
6jlz5QSUqbKE4vnzo2qfP1	Karen Mok	330326	59
2F5W6Rsxwzg0plQ0w8dSyt	Leehom Wang	471645	60
6noxsCszBEEK04kCehugOp	A-Mei Chang	494071	61
3ienC90A5I1X3irDyQoqWZ	Teresa Teng	356154	58
6gvSKE72vF6N20LfBqrDmm	Mao Buyi	157390	56
376pcuw4IgWBMOUwCr8kIm	Tanya Chua	258263	60
0rTP0x4vRFSDbhtqcCqc8K	Ronghao Li	377317	60
2n3uDrupL8UtFSeZhY38MS	Andy Lau	302702	56
2lWShxOL8iTlI0pmtVKvEh	S.H.E	381955	57
3K2hOAx9MPhduvDf2qguro	Sandy Lam	198802	55
28gf2piFx6cAKOMIwcky5a	A-Lin	614717	59
3AroL2oDPiAnMpTmIQv3KP	Cyndi Wang	157764	54
3dI4Io8XE33J2o04ZwjR0Y	LaLa Hsu	333344	60
3jPL2UtbCi2DuvuK2dolR6	Jody Chiang	91576	52
1GPoTgvXd5OqZMF1akOsV2	Yoga Lin	373033	59
0MEchSWR9pJvw1S5CV3Kuk	Rainie Yang	410674	58
3WYT2b8pOLsLsqSaoWYr7U	Sodagreen	306486	57
0PdNEiQ3MsJGCEgE13Tz60	Silence Wang	108944	55
40tNK2YedBV2jRFAHxpifB	David Tao	201404	56
6wcIBaOvA9XNGgPujYZZ7L	Wakin Chau	88084	53
2dw80Uni5l7wd9zZFn7Ltu	Jeff Chang	106991	54
6xErgeZYatiaQ36SB5bvi8	告五人	153566	61
2JBUyLiFvpFPWdZGqIGYLD	Crowd Lu	243401	61
1YrtUPrWcPfgdl9BaD9nhd	Khalil Fong	180235	54
4txug0T3vYc9p20tuhfCUa	Angela Chang	241822	54
5H8TJITZE1sPjVR2ACzXNS	Wu Bai	201379	57
4TcOznbEZBqev21LzAH4KE	高爾宣 OSN	203670	60
70paW48PtCtUjtndElrjrL	Tia Ray	41726	53
3fS78kAWd9dVFyaPQ363YO	Lu Han	724233	52
3iRqbMhzyOyoCkmmMRxLWR	Hu Xia	86693	54
2TXF68WgfTZlipUvLBsQre	Jonathan Lee	140798	51
75CM5fojYdKYD0xYSFh22Z	Yisa Yu	140989	55
4AJcTAMOLkRl3vf4syay8Q	Jam Hsiao	397651	58
5PNcqs6EtD6gSXgUiiJIUU	颜人中	25924	57
3DOs7Bsr9x4eJHqv6ViPvR	By2	95253	53
7Icsejk4pdIhkq2KO5A0jD	ØZI	103885	56
24jrxG0tKcwgAzsLuPzyMi	Namewee	208345	55
5oqLnVZzJJXE3YnzzZfRKu	F.I.R.	69837	55
6aSJ9LaNaHOKiPchLDYGYl	Fei Yu-ching	88851	51
5XMnJOQbE6OuOvcV8fn3Wg	Dave Wong	81935	52
7KyaSSJ8uTv7Unev4z2Qc7	Kelly Chen	88456	52
1km0aro5NJuoX5dE0Mub5C	Joanna Wang	110663	53
26SQFo2qNNGOxh2PUAsTeO	Michael Wong	111613	50
6g641431O1Xkl7HAs2yFEg	EggPlantEgg	206980	61
5a5vu4RzsAHdKN0aYyblZ8	吳青峰	134983	55
2SOrfXWlb17EoCqupfGX4u	Aska Yang	81825	51
6qzfo7jiO4OrhxrvPFPlWX	Rene Liu	146160	52
7fCFxj1GCRqwFZEP4iJRw0	Will Pan	181017	52
1EUq1MC4vfYYxcVK9aJnXf	Della	176012	53
3TtgOeQcNkf9WVDA4xPBJM	831	149751	57
06RD8CxzApXzuhHx54BhQL	Anita Mui	81180	51
4EefQ1H6Qg9W5Gv7eVLC9U	Jordan Chan	71365	51
190bkHbFrRvEhcB7Zpuv3y	Waa Wei	134091	58
0zjNCSqeDIxn63crtDx7G2	Richie Jen	69866	50
3HXSUfI76zVZk71UMAeVfp	No Party For Cao Dong	152789	50
4yamiVzQPYBb02ceSu0jaI	A Si	27788	50
6PNEi9i2MxUgRufqYr76Xt	Zhang Zhen Yue	85790	52
4m0xrEWYU0yCUFMaga015T	Cheer Chen	171236	52
2qXGNIlmY3JrYkxOWyXZsd	瘦子E.SO	109541	60
01u3qI3xMGFvktXyRSMGRZ	Vicky Chen	63192	56
7pSH4sO2lXAxFKF6MkwORv	Julia Wu	113262	56
7Bx0SBZoIX73eywmBcdqFb	Sally Yeh	46848	48
7brWAbUcLVhV9o1w1dLcsx	Z.TAO	581682	49
1ov19Y7UXQnb6lKkP49s4I	Guo Ding	42197	49
4VgfrD5wuAoN428fBZNSyW	Lara Liang	12070	50
1Qneon4tYZ7srVOU91bTsO	Steve Chou	47551	47
6yTAPw3o7oDH7lhj34jvbH	Elva Hsiao	90500	51
6VbRanWSU3pdDhJnhSfGmY	Harlem Yu	106122	50
5AhK8gDgOZT7lE1UlbyF1c	Andrew Tan	82557	52
7y3HnWCFEvWj4KM9GFSkiX	WeiBird	120213	56
2OC4lXfGEKZkbmRCcf2vTq	Wanting	39910	49
1dVbVQZjRGDjQmHD8oiS8k	Kimberley Chen	95702	51
